Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,2834,6.04792451,-10.4803778,62.4845847,1.47881437e-05,2.6862665e-06,-4.5441729e-07,-2.50094754e-08,1.36895082e-07,2.79959131e-08
0.1,2835,6.04792451,-10.4803778,65.3757527,1.4893576e-05,2.70769351e-06,-4.62898385e-07,-2.57805883e-08,1.80000072e-07,3.63851598e-08
0.1,2836,6.04792451,-10.4803778,59.5934168,1.47007604e-05,2.66835127e-06,-4.47219691e-07,-2.45143355e-08,1.03300295e-07,2.13888605e-08
0.1,2837,6.04792451,-10.4803778,56.7022525,1.46279754e-05,2.65325752e-06,-4.40885344e-07,-2.41627625e-08,7.6031597e-08,1.59796318e-08
0.1,2838,6.04792451,-10.4803778,50.9199202,1.45172889e-05,2.62989647e-06,-4.30725379e-07,-2.40333584e-08,3.23389813e-08,7.22946281e-09
0.1,2839,6.04792451,-9.4821658,53.8110882,1.38403111e-05,2.50709991e-06,1.44704222e-06,3.13111258e-07,5.23592618e-08,1.12603384e-08
0.1,2840,6.04792451,-10.4803778,53.8110882,1.45671647e-05,2.64046207e-06,-4.3545603e-07,-2.40202311e-08,5.28908117e-08,1.13641487e-08
0.1,2841,6.04792451,-10.4803778,45.1375879,1.44469259e-05,2.61449941e-06,-4.22935784e-07,-2.43369218e-08,-6.10791284e-09,-5.02790309e-10
0.1,2842,6.04792451,-9.4821658,45.1375879,1.37318693e-05,2.4839328e-06,1.43193688e-06,3.07020485e-07,-5.981319e-09,-4.59473848e-10
0.1,2843,6.04792451,-10.4803778,48.0287559,1.44773057e-05,2.62126855e-06,-4.26493614e-07,-2.41001281e-08,1.30942244e-08,3.37936878e-09
