Frequency (GHz),VertexIndex,vertex_X (mm),vertex_Y (mm),vertex_Z (mm),Re( Total B x ) (T),Im( Total B x ) (T),Re( Total B y ) (T),Im( Total B y ) (T),Re( Total B z ) (T),Im( Total B z ) (T)
0.1,13998,6.04792451,66.8630674,2.99792457,9.57687192e-08,1.97135339e-08,-1.63349412e-07,-2.39449864e-08,-3.09743413e-08,-1.01422319e-08
0.1,13999,6.04792451,65.9543574,-4.00000019,3.357259e-08,4.03336164e-09,-5.34092841e-08,-7.50004503e-09,-2.25110082e-08,-1.05600471e-08
0.1,14000,6.04792451,65.9543574,-3.12525942,3.55675738e-08,5.30175237e-09,-6.89483528e-08,-9.80394255e-09,-2.05839719e-08,-1.06458939e-08
0.1,14001,6.04792451,106.833763,-32.235533,-1.06961284e-09,-3.07270209e-10,5.2943494e-10,2.11599238e-10,-5.10544829e-10,-1.73928066e-10
0.1,14002,6.04792451,65.9543574,-6.00000005,2.49320582e-08,9.89779814e-10,-2.59853419e-08,-3.46061135e-09,-2.68479603e-08,-9.83030368e-09
0.1,14003,6.04792451,65.9543574,-5.33333328,2.85126998e-08,1.94051619e-09,-3.30476659e-08,-4.4967412e-09,-2.57850488e-08,-1.01754303e-08
0.1,14004,6.04792451,65.9543574,-7.60000013,1.58499258e-08,-8.78336293e-10,-1.47767976e-08,-1.82661641e-09,-2.67043916e-08,-8.61991456e-09
0.1,14005,6.04792451,65.9543574,-6.80000009,2.05420818e-08,1.77713729e-11,-1.97968415e-08,-2.55497379e-09,-2.72396239e-08,-9.28052213e-09
0.1,14006,6.04792451,65.9543574,39.3552557,7.18080528e-08,1.42857459e-08,-1.90607466e-07,-2.75212511e-08,-6.14847673e-10,-1.8367563e-10
0.1,14007,6.04792451,66.8630674,39.3552557,1.08348559e-07,1.99802344e-08,-1.8315599e-07,-2.64866564e-08,-6.1107408e-10,-1.81813148e-10
0.1,14008,6.04792451,65.9543574,-8.3999997,1.17296084e-08,-1.57594127e-09,-1.10841656e-08,-1.29497923e-09,-2.54689603e-08,-7.90046606e-09
0.1,14009,6.04792451,65.9543574,-9.99999978,5.75403769e-09,-2.41389997e-09,-6.37695496e-09,-6.29072294e-10,-2.19199023e-08,-6.46247766e-09
0.1,14010,6.04792451,65.9543574,-9.2000002,8.36685032e-09,-2.07976725e-09,-8.37415381e-09,-9.08491393e-10,-2.37986892e-08,-7.16919102e-09
0.1,14011,6.04792451,76.5219331,-20.6284672,-4.49111948e-09,-2.18741714e-09,1.21509081e-09,4.50460225e-10,-5.92830984e-09,-1.52740931e-09
0.1,14012,6.04792451,65.9543574,-10.999308,3.55283691e-09,-2.64008837e-09,-4.7091171e-09,-3.98366062e-10,-1.95069436e-08,-5.6438223e-09
0.1,14013,6.04792451,65.9543574,-11.9986162,1.91107818e-09,-2.73816259e-09,-3.41194029e-09,-2.25276617e-10,-1.72098336e-08,-4.91505503e-09
0.1,14014,6.04792451,66.8630674,-11.9986162,3.63636371e-10,-2.9281173e-09,-3.29122374e-09,-1.95400737e-10,-1.80731785e-08,-5.02940223e-09
0.1,14015,6.04792451,65.9543574,-12.9979244,8.51857695e-10,-2.7353706e-09,-2.49213006e-09,-1.0649339e-10,-1.51178714e-08,-4.2794146e-09
0.1,14016,6.04792451,65.9543574,-23.5302337,-2.36810016e-10,-1.64053993e-09,7.82948446e-12,1.46598317e-10,-4.34447811e-09,-1.24105748e-09
0.1,14017,6.04792451,66.8630674,-20.6284672,-9.59868074e-10,-2.01548689e-09,-1.25168723e-10,1.60398347e-10,-6.00353456e-09,-1.67867165e-09
0.1,14018,6.04792451,65.9543574,-20.6284672,-5.00234409e-10,-1.97213845e-09,-2.06162934e-10,1.40935999e-10,-5.93329519e-09,-1.67580694e-09
0.1,14019,6.04792451,65.9543574,-38.0390659,6.69909073e-10,-6.92603086e-10,1.17013607e-10,9.63456329e-11,-1.22761568e-09,-3.89329263e-10
0.1,14020,6.04792451,66.8630674,-38.0390659,5.74971459e-10,-6.93772928e-10,1.33435443e-10,1.01022968e-10,-1.22440391e-09,-3.87136573e-10
0.1,14021,6.04792451,66.8630674,-35.1372994,4.60748412e-10,-8.18046908e-10,1.50874646e-10,1.11773035e-10,-1.52863333e-09,-4.70173345e-10
0.1,14022,6.04792451,65.9543574,-35.1372994,5.75684944e-10,-8.14944501e-10,1.2995191e-10,1.06018763e-10,-1.53112334e-09,-4.7280807e-10
0.1,14023,6.04792451,65.9543574,-40.9408323,7.34601935e-10,-5.9027272e-10,1.02441e-10,8.79436454e-11,-9.96721594e-10,-3.25651811e-10
0.1,14024,6.04792451,66.8630674,-40.9408323,6.5474498e-10,-5.90034466e-10,1.15604845e-10,9.17503157e-11,-9.93471527e-10,-3.23620825e-10
0.1,14025,6.04792451,65.9543574,-43.8425951,7.76538889e-10,-5.03628861e-10,8.82344545e-11,8.08150838e-11,-8.18505486e-10,-2.76213413e-10
0.1,14026,6.04792451,66.8630674,-43.8425951,7.08389791e-10,-5.02581032e-10,9.8867782e-11,8.41480843e-11,-8.15556511e-10,-2.7461311e-10
0.1,14027,6.04792451,65.9543574,-55.4496609,8.15528867e-10,-2.59347321e-10,4.46135628e-11,6.15160214e-11,-4.14521889e-10,-1.61775759e-10
